 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 1.21500000e-09  1.02000000e+00 -5.58964871e-03  1.21500000e-09  3.35806880e-05  1.20000000e+00 -6.97553361e-06 -2.66051544e-05  0.00000000e+00 
 1.22500000e-09  9.00000000e-01  7.44655219e-04  1.22500000e-09  3.75349496e-05  1.20000000e+00 -2.46031180e-05 -1.29318316e-05  0.00000000e+00 
 1.23500000e-09  7.80000000e-01  2.99896107e-02  1.23500000e-09  4.33878129e-05  1.20000000e+00 -8.04596299e-05  3.70718170e-05  0.00000000e+00 
 1.24500000e-09  6.60000000e-01  1.11772013e-01  1.24500000e-09  4.87873013e-05  1.20000000e+00 -1.69830028e-04  1.21042727e-04  0.00000000e+00 
 1.25500000e-09  5.40000000e-01  5.42400640e-01  1.25500000e-09  7.03310114e-05  1.20000000e+00 -2.48414342e-04  1.78083330e-04  0.00000000e+00 
 1.26500000e-09  4.20000000e-01  1.09684181e+00  1.26500000e-09  6.27283863e-05  1.20000000e+00 -1.62296075e-04  9.95676886e-05  0.00000000e+00 
 1.27500000e-09  3.00000000e-01  1.18833213e+00  1.27500000e-09  2.90862493e-05  1.20000000e+00 -3.35146074e-05  4.42835811e-06  0.00000000e+00 
 1.28500000e-09  1.80000000e-01  1.18474376e+00  1.28500000e-09  4.05248620e-05  1.20000000e+00 -4.29434144e-05  2.41855244e-06  0.00000000e+00 
 1.29500000e-09  6.00000000e-02  1.20067735e+00  1.29500000e-09  2.76724759e-05  1.20000000e+00 -9.33857953e-06 -1.83338963e-05  0.00000000e+00 
 1.30000000e-09  0.00000000e+00  1.19179446e+00  1.30000000e-09  3.29043314e-05  1.20000000e+00 -2.91184263e-05 -3.78590514e-06  0.00000000e+00 
 1.30100000e-09  0.00000000e+00  1.19699175e+00  1.30100000e-09  5.14384258e-06  1.20000000e+00 -8.22586775e-06  3.08202517e-06  0.00000000e+00 
 1.30300000e-09  0.00000000e+00  1.20079230e+00  1.30300000e-09 -1.36752297e-06  1.20000000e+00  2.16533244e-06 -7.97809476e-07  0.00000000e+00 
 1.30700000e-09  0.00000000e+00  1.19954831e+00  1.30700000e-09  7.48467828e-07  1.20000000e+00 -1.22834356e-06  4.79875734e-07  0.00000000e+00 
 1.31500000e-09  0.00000000e+00  1.20032194e+00  1.31500000e-09 -5.56517828e-07  1.20000000e+00  8.74558297e-07 -3.18040469e-07  0.00000000e+00 
 1.32500000e-09  0.00000000e+00  1.19972809e+00  1.32500000e-09  4.38292105e-07  1.20000000e+00 -7.34487155e-07  2.96195050e-07  0.00000000e+00 
 1.33500000e-09  0.00000000e+00  1.20019888e+00  1.33500000e-09 -3.44695829e-07  1.20000000e+00  5.37452358e-07 -1.92756529e-07  0.00000000e+00 
 1.34500000e-09  0.00000000e+00  1.19982550e+00  1.34500000e-09  2.70391043e-07  1.20000000e+00 -4.67246089e-07  1.96855046e-07  0.00000000e+00 
 1.35500000e-09  0.00000000e+00  1.20012154e+00  1.35500000e-09 -2.11523851e-07  1.20000000e+00  3.25504367e-07 -1.13980516e-07  0.00000000e+00 
 1.36500000e-09  0.00000000e+00  1.19988677e+00  1.36500000e-09  1.64810075e-07  1.20000000e+00 -2.99199966e-07  1.34389890e-07  0.00000000e+00 
